#{"t_start": 1775382976.772105, "env_id": "None"}
r,l,t
18.81,64,70.208267
13.16,64,70.263927
13.48,64,70.313869
15.18,64,70.363131
19.74,64,70.413002
110.83,36,70.440665
12.13,64,70.490358
19.02,64,70.540088
13.26,64,70.587113
14.96,64,70.635875
20.59,64,70.684433
109.7,45,70.719857
109.88,31,70.744652
15.45,64,70.794658
111.07,39,72.16184
13.04,64,72.210448
105.77,28,72.234154
110.03,38,72.266439
112.92,61,72.316114
105.8,26,72.338314
9.11,64,72.388974
20.81,64,72.439904
13.38,64,72.490342
110.08,43,72.523934
14.91,64,72.574182
17.46,64,72.625232
19.61,64,72.674819
21.99,64,72.723522
12.95,64,72.77195
13.2,64,72.842529
16.2,64,72.893851
117.27,64,72.94537
105.18,31,72.969877
113.37,42,73.001368
16.36,64,73.050667
8.85,64,73.099944
105.94,21,73.118192
101.74,5,73.122339
108.31,28,73.144872
20.39,64,73.193888
14.69,64,73.243956
15.94,64,73.29343
12.99,64,73.344414
18.73,64,73.395055
13.83,64,73.445258
102.27,16,73.457701
14.9,64,73.507575
119.45,62,73.555271
15.58,64,73.604753
12.75,64,73.655812
116.92,42,73.687914
9.79,64,73.737263
14.3,64,75.184799
15.25,64,75.236724
12.84,64,75.289321
107.65,29,75.312173
18.15,64,75.362924
14.04,64,75.412428
13.96,64,75.462414
12.53,64,75.512083
104.1,18,75.52607
104.64,33,75.551284
18.98,64,75.600741
15.87,64,75.650612
112.18,44,75.684757
11.45,64,75.735363
14.6,64,75.784366
16.39,64,75.834108
10.95,64,75.884954
11.5,64,75.934109
113.91,52,75.973647
11.81,64,76.023263
14.8,64,76.072208
14.8,64,76.123127
18.92,64,76.17361
15.53,64,76.224998
118.5,50,76.267874
9.24,64,76.319568
105.24,30,76.343544
18.09,64,76.394004
11.08,64,76.444157
13.43,64,76.494295
111.15,41,76.526977
21.53,64,76.575154
13.87,64,76.624431
15.78,64,76.676328
102.58,14,76.687033
112.37,61,76.737018
102.52,4,76.740328
112.85,44,76.775279
112.93,44,78.124992
12.19,64,78.174453
12.31,64,78.224156
107.11,23,78.243514
108.36,41,78.278261
103.04,19,78.293242
11.41,64,78.342173
15.49,64,78.391325
14.22,64,78.442377
11.82,64,78.491993
20.23,64,78.54287
112.92,57,78.587221
104.01,15,78.598894
11.24,64,78.647953
112.83,47,78.68356
15.02,64,78.732046
102.18,10,78.740211
111.26,42,78.772981
101.55,4,78.775963
12.24,64,78.82418
21.57,64,78.872947
109.09,34,78.898348
112.66,59,78.944608
14.09,64,78.994199
13.39,64,79.043187
102.21,19,79.058597
113.56,36,79.085421
10.06,64,79.135289
12.73,64,79.186767
100.21,3,79.189644
102.75,12,79.200459
100.03,3,79.203048
11.89,64,79.256321
115.41,63,79.305248
101.52,4,79.308271
11.34,64,79.355936
17.62,64,79.404324
9.26,64,79.452861
114.35,63,79.501038
109.12,45,79.538847
18.36,64,79.58778
14.23,64,79.63669
13.11,64,79.686965
119.34,63,81.093119
16.99,64,81.146738
108.64,42,81.181186
14.81,64,81.234159
13.59,64,81.290937
10.54,64,81.34297
12.61,64,81.395466
16.29,64,81.447565
18.08,64,81.498916
12.66,64,81.550283
15.96,64,81.599867
15.4,64,81.651089
14.82,64,81.701461
11.49,64,81.751316
112.26,45,81.786621
16.82,64,81.839156
115.9,52,81.879668
104.31,25,81.898328
14.7,64,81.948956
101.3,7,81.954383
100.63,3,81.956845
14.58,64,82.007207
16.97,64,82.057451
13.23,64,82.107256
103.54,20,82.125735
9.23,64,82.176632
16.49,64,82.226112
119.86,46,82.265038
106.36,14,82.278023
22.63,64,82.327912
104.6,20,82.343327
110.13,46,82.380552
16.24,64,82.432001
18.56,64,82.48241
13.94,64,82.534569
100.48,3,82.537291
21.15,64,82.58696
9.03,64,82.637798
13.37,64,82.688038
115.25,53,84.094865
108.61,38,84.128184
10.29,64,84.178469
114.6,46,84.216727
113.75,52,84.260437
115.16,52,84.304975
103.23,29,84.329953
14.3,64,84.379118
14.65,64,84.430809
105.57,21,84.447022
18.91,64,84.495817
102.76,14,84.507174
101.42,10,84.515763
16.01,64,84.565167
108.56,56,84.609282
115.94,62,84.657228
107.5,39,84.687246
106.32,26,84.707609
16.33,64,84.754401
13.26,64,84.80326
9.83,64,84.851748
12.24,64,84.901023
9.59,64,84.95029
13.05,64,84.99814
20.85,64,85.047238
104.31,17,85.060681
114.38,54,85.102348
104.63,20,85.120391
14.82,64,85.169834
16.29,64,85.218552
111.74,61,85.291658
106.89,26,85.31206
107.28,37,85.342149
13.65,64,85.394118
16.66,64,85.44338
11.75,64,85.493177
13.16,64,85.544436
14.18,64,85.593143
11.86,64,85.644335
11.83,64,87.061829
114.59,63,87.11125
14.86,64,87.162571
7.91,64,87.214933
111.72,43,87.248258
120.04,55,87.290805
105.14,33,87.318652
17.0,64,87.367245
110.6,43,87.401224
12.75,64,87.451457
108.64,37,87.479274
104.79,13,87.489415
12.93,64,87.540603
10.89,64,87.590821
17.23,64,87.642132
110.76,34,87.668329
16.46,64,87.717365
112.91,35,87.743633
109.02,27,87.76377
106.42,36,87.790701
11.98,64,87.838246
105.76,21,87.854025
15.89,64,87.900427
108.76,34,87.925798
15.15,64,87.974096
104.82,24,87.992603
118.11,58,88.036764
19.53,64,88.086113
104.29,12,88.095337
103.82,18,88.109759
14.64,64,88.1647
21.7,64,88.216072
100.95,1,88.217212
9.7,64,88.26739
13.64,64,88.318431
10.91,64,88.367694
102.48,10,88.375695
103.16,32,88.400423
100.13,1,88.401411
102.22,17,88.415156
17.82,64,88.464644
107.29,20,88.480117
104.63,9,88.486901
12.51,64,88.536923
11.35,64,88.58659
107.62,37,88.617201
20.44,64,90.012953
21.07,64,90.062752
17.92,64,90.116579
13.51,64,90.168694
104.38,12,90.178393
110.44,50,90.215623
13.89,64,90.26604
115.12,64,90.316282
17.4,64,90.364607
14.23,64,90.413749
13.16,64,90.462839
110.4,48,90.500064
12.72,64,90.547896
102.3,3,90.550553
16.94,64,90.597926
108.31,46,90.633202
106.31,32,90.65781
10.64,64,90.708585
108.82,52,90.748892
12.18,64,90.796136
113.47,45,90.831779
18.87,64,90.880303
12.74,64,90.931252
14.33,64,90.978822
108.79,36,91.005583
13.07,64,91.053279
106.41,19,91.069212
104.6,34,91.095943
115.14,57,91.142573
113.25,49,91.180294
16.82,64,91.230554
107.87,27,91.253591
104.43,21,91.271401
12.58,64,91.320216
15.53,64,91.36814
106.95,31,91.392768
13.41,64,91.445629
13.78,64,91.494672
18.38,64,91.543611
11.02,64,92.914779
15.44,64,92.962414
13.64,64,93.010219
12.62,64,93.057884
17.26,64,93.104076
18.55,64,93.153076
100.7,7,93.158992
107.11,19,93.175843
101.61,4,93.179733
22.96,64,93.229526
103.56,18,93.245183
17.56,64,93.296693
11.87,64,93.346164
14.42,64,93.394639
15.77,64,93.442862
13.73,64,93.492315
15.88,64,93.543537
20.43,64,93.592424
21.85,64,93.646005
14.06,64,93.697663
104.19,15,93.709948
104.8,41,93.74106
11.74,64,93.788765
106.45,31,93.812053
103.32,16,93.823932
104.92,15,93.836038
15.45,64,93.888004
15.32,64,93.93996
14.77,64,93.997456
117.05,60,94.045446
13.48,64,94.093266
103.42,27,94.113775
14.01,64,94.163788
15.73,64,94.212334
18.5,64,94.260253
11.78,64,94.312029
108.92,28,94.332708
109.2,46,94.36502
13.4,64,94.414766
110.47,41,94.445276
13.95,64,94.491258
119.07,49,95.857298
99.98,4,95.860745
17.69,64,95.909428
112.1,42,95.942641
19.09,64,95.988447
106.3,31,96.011252
116.7,62,96.056802
