agent,episode,action_id,count,pattern,region,concurrency,access_pattern,block_size,duration_s,memory_mb,copy_threads,cpu_threads,warm_copy,max_errors,stress_score
random,2,60,1,walking_1_0,1,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
random,2,98,1,walking_1_0,2,high,sequential,page_4KB,120,4096,16,8,True,-1,6.879757499999999
random,2,120,1,walking_1_0,3,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.124276
random,2,250,1,walking_1_0,6,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
random,2,900,1,march,1,low,sequential,page_4KB,30,256,4,0,False,-1,0.9286249999999999
random,2,1772,1,inversion,1,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.9418080000000002
random,2,1463,1,solid,0,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.01587456
random,2,301,1,checkerboard,0,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.7808704000000004
random,2,204,1,walking_1_0,5,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
random,2,1439,1,butterfly,7,high,rowhammer_like,page_4KB,300,0,16,8,True,1,23.431408000000005
random,2,555,1,checkerboard,7,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.561740800000001
random,2,554,1,checkerboard,7,medium,sequential,page_4KB,120,4096,8,4,True,-1,4.171305600000001
random,2,1585,1,solid,4,low,sequential,page_4KB,60,1024,4,0,False,-1,1.1969999999999998
random,2,1886,1,inversion,4,medium,sequential,page_4KB,120,4096,8,4,True,-1,4.1017838399999995
random,2,1681,1,solid,6,high,sequential,page_4KB,60,4096,16,8,True,-1,5.253632999999998
random,2,253,1,walking_1_0,7,low,sequential,page_4KB,60,1024,4,0,False,-1,1.254
random,2,1258,1,butterfly,2,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,15.063048000000004
random,2,1148,1,march,7,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.883336
random,2,132,1,walking_1_0,3,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
random,2,1500,1,solid,1,high,sequential,page_4KB,30,4096,16,8,True,-1,4.378027499999999
random,2,1170,1,butterfly,0,medium,random,page_4KB,120,4096,8,4,True,10,5.7081024
random,2,1907,1,inversion,4,high,rowhammer_like,page_4KB,300,0,16,8,True,1,21.2685088
random,2,1424,1,butterfly,7,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,4.651046400000001
random,2,737,1,random,4,medium,random,page_4KB,60,1024,8,4,True,10,2.9272320000000005
random,2,655,1,random,2,low,random,page_4KB,300,1024,4,0,True,10,2.64
